Title,Address,Price,Cuisine,Badge Text,Description,Services,Map Iframe URL,Phone,Website,google_name,google_address,maps_url,rating,user_ratings_count,phone,website,price_level,latitude,longitude,distance_meters
Trattoria Felino,"Shop 3&4, GF, Pao Yip Building, 1-7 Ship Street, Wan Chai, Hong Kong, Hong Kong SAR China",$$,Italian,,"The chef hails from Naples and his trattoria serves culinary gems from the Italian city, including his grandma's recipes. Start with the carbonara egg, aerated egg yolk with guanciale and pecorino in an eggcup on a bed of corn kernels. Then move on to the house-made pasta, which embodies the ethos of the trattoria. The tagliatelle with Wagyu beef ragout strikes the perfect balance between meaty and tangy. Book well ahead to secure a table.","Air conditioning
                                





                                Credit cards accepted",,+852 5697 4477,https://www.trattoriafelino.com,Trattoria Felino,"G/F, 1-7 Ship St, Wan Chai, Hong Kong",https://maps.google.com/?cid=7983226341887610246,4.4,159,+852 5697 4477,https://www.trattoriafelino.com/,,22.276378899999997,114.1708712,
Prince and the Peacock,"2F, The Magistracy, Tai Kwun, 1 Arbuthnot Road, Central, Hong Kong, Hong Kong SAR China",$$,Indian,,"Chef Palash Mitra opened this lavish restaurant in a prison and police station-turned arts complex. Fit for royalty, the interior is matched by a menu inspired by the royal kitchens dotted around India. The chef collects lost recipes as he travels, recreating them as sharing plates for Hong Kong audience. Try his nalli gosht biryani – aged basmati with lamb shank and short ribs, plus minty raita to cut through the richness.","Air conditioning
                                

                                    Terrace
                                

                                    Wheelchair access
                                





                                Credit cards accepted",,+852 2154 6104,https://www.themagistracyhongkong.com/prince卜-and-the-peacock,Prince and The Peacock,"2/F, Central Magistracy, Tai Kwun, 1 Arbuthnot Rd, Central, Hong Kong",https://maps.google.com/?cid=2643195533927868921,4.8,32,+852 2154 6104,https://www.themagistracyhongkong.com/prince-and-the-peacock,,22.2812107,114.1545046,
Carna by Dario Cecchini,"39F, Mondrian, 8A Hart Avenue, Tsim Sha Tsui, Hong Kong",$$$,Steakhouse,,"The swanky room creates a Tuscan vibe with gracious arches and exquisite stained glass. It also commands breathtaking harbour views visible from almost every table. The Italian steakhouse, brainchild of the famous butcher Dario Cecchini, champions a nose-to-tail concept with a focus on beef from Italy, Australia, the U.S., Japan and Ireland. Premium U.S. Wagyu steaks stand out in particular. The Italian wine list practically covers the entire country.","Air conditioning
                                

                                    Great view
                                

                                    Interesting wine list
                                

                                    Valet parking
                                





                                Credit cards accepted",,+852 3550 0339,https://book.ennismore.com/hotels/mondrian/hong-kong/carna,Carna by Dario Cecchini,"39/F, Mondrian, 8A Hart Ave, Tsim Sha Tsui, Hong Kong",https://maps.google.com/?cid=12952614328597968063,4.7,79,+852 3550 0339,https://mondrianhotels.com/hong-kong/dining/carna/,,22.2977228,114.17490839999999,
Lulu Baobao,"Shop 102, 1F, Metro South Tower 2, 39 Wong Chuk Hang Road, Wong Chuk Hang, Hong Kong, Hong Kong SAR China",$,Dim Sum,Small Shop,"With custom-made crockery and retro marquetry on the walls and tables, the space feels stylish and spacious. Noodles and buns are handmade à la minute in the glass-clad kitchen, so expect a wait during peak hours. Try their noodles in ""gentle"" scallion oil – bouncy noodles dressed in the perfect amount of infused oil. The xiao long bao are also exquisitely made with beautiful pleats and soupy pork filling. The combo sets are great value.","Air conditioning
                                

                                    Car park
                                





                                Credit cards accepted",,+852 3460 4247,https://www.sensoryzero.com/lulubaobao,lulu BAOBAO 手工拉麵小籠包 [ Metro South Tower ],"Shop 102, 1/F, Tower 2, of Metro South, 39 Wong Chuk Hang Rd, Wong Chuk Hang, Hong Kong",https://maps.google.com/?cid=15715668964593825612,4.1,41,+852 3460 4247,https://www.sensoryzero.com/lulubaobao,,22.2488209,114.16639219999999,
Bánh Mì Nếm,"GF, 247-249 Queen's Road East, Wan Chai, Hong Kong, Hong Kong SAR China",$,Street Food,Street food,"This takeout-only shop specialises in Vietnamese sandwiches, alongside rice noodles and coffee. The signature bánh mì dặc biệt features Vietnamese char siu, sausage and pâté in a baguette. Pickled radish and chilli add extra zing.",Credit cards accepted,,+852 9899 1247,,Banh Mi Nem,"247-249 Queen's Rd E, Wan Chai, Hong Kong",https://maps.google.com/?cid=2804001655454596186,4.4,73,+852 9899 1247,,,22.274249899999997,114.17408089999999,
The Legacy House,"5F, Rosewood Hotel, 18 Salisbury Road, Tsim Sha Tsui, Hong Kong",$$$,Shun Tak,One Star: High quality cooking,"This restaurant pays homage to the hotel’s founding patriarch. A variety of Shun Tak dishes – such as minced fish soup and pan-fried fish head – are served, to a backdrop of breathtaking harbour views and modern Chinese décor. It also supports the local economy by ordering ingredients and cookware from local fishermen, artisans and farms directly. A dress code applies for dinner.","Air conditioning
                                

                                    Car park
                                

                                    Counter dining
                                

                                    Great view
                                

                                    Terrace
                                

                                    Valet parking
                                

                                    Wheelchair access
                                





                                Credit cards accepted",,+852 3891 8732,https://www.rosewoodhotels.com/tc/hong-kong,The Legacy House,"5/F Rosewood Hong Kong Victoria Dockside, 18 Salisbury Rd, Tsim Sha Tsui, Hong Kong",https://maps.google.com/?cid=711423180953517040,4.5,162,+852 3891 8732,https://www.rosewoodhotels.com/en/hong-kong/dining/the-legacy-house,,22.2949464,114.17570470000001,
Zuicho,"GF, The Mercer Central, 29 Jervois Street, Sheung Wan, Hong Kong, Hong Kong SAR China",$$$$,Japanese,One Star: High quality cooking,"The head chef worked in some revered establishments in Tokyo for years and all ingredients are shipped from Japan. The highlight is the Satsuma beef fillet with confit egg yolk – the beef melts in your mouth while the egg yolk imparts silky richness. You may order omakase or tasting menu at lunch, but only one omakase Kappo menu that changes monthly is served at dinner. Seats are limited and reservations are mandatory.","Air conditioning
                                

                                    Counter dining
                                

                                    Wheelchair access
                                





                                Credit cards accepted",,+852 2156 1883,https://zuicho-kappo.com,The Mercer Hong Kong,"29號 Jervois St, Sheung Wan, Hong Kong",https://maps.google.com/?cid=15247193867846949384,4.3,187,+852 2922 9988,https://www.themercer.com.hk/,,22.2851517,114.15210259999999,
Ryota Kappou Modern,"21F,  18 On Lan Street, Central, Hong Kong, Hong Kong SAR China",$$$,Japanese,One Star: High quality cooking,"Floor-to-ceiling windows let in natural light and allow expansive views, while designer furniture and artisan tableware exude style. Only a kappo-style set menu is offered and the courses feature the best ingredients in season. The chef’s favourite Omi Wagyu katsu with black truffle and egg confit was inspired by sukiyaki and its flavours are in perfect harmony. The dinner set menu also includes an array of sake distributed by the restaurant itself.","Air conditioning
                                

                                    Counter dining
                                

                                    Notable sake list
                                

                                    Wheelchair access
                                





                                Credit cards accepted",,+852 2628 1899,http://www.ryota.hk,Ryota Kappou Modern,"21F, 18 On Lan St, Central, Hong Kong",https://maps.google.com/?cid=10656964560265565747,4.5,89,+852 2628 1899,http://www.ryota.hk/,,22.280606199999998,114.1567128,
Rùn,"2F, The St. Regis Hotel, 1 Harbour Drive, Wan Chai, Hong Kong",$$$,Cantonese,Two Stars: Excellent cooking,"Chef Hung has worked in many 5-star hotels and values food quality and shrewd techniques more than anything else. Seasonal ingredients from around the world are painstakingly prepared the traditional way and then plated with modern refinement. Wok-fried crab claw with dried shrimps, spring onion and layered bean curd sheet is exquisitely presented and loaded with umami. The wine and tea sommeliers, as well as the professional service team, make for a pleasant experience.","Air conditioning
                                

                                    Car park
                                

                                    Interesting wine list
                                

                                    Restaurant offering vegetarian menus
                                

                                    Valet parking
                                

                                    Wheelchair access
                                





                                Credit cards accepted",,+852 2138 6808,https://run-restaurant.stregishongkong.com/,RÙN,"1 Harbour Dr, Wan Chai, Hong Kong",https://maps.google.com/?cid=15370832691461445250,4.4,195,+852 2138 6808,https://run-restaurant.stregishongkong.com/our-menus,,22.279864699999997,114.17489769999999,
Cheung Hing Kee (Tsim Sha Tsui),"GF, 48 Lock Road, Tsim Sha Tsui, Hong Kong, Hong Kong SAR China",$,Street Food,"Bib Gourmand: good quality, good value cooking","Besides the typical sheng jian bao with soupy pork filling, this shop serves varieties such as shrimp, mala pork, truffle, crabmeat and roe. The buns are springy, brimming with filling, and crispy on the bottom.",Credit cards accepted,,+852 9844 2149,,Cheung Hing Kee Shanghai Pan Fried Buns,"48 Lock Rd, Tsim Sha Tsui, Hong Kong",https://maps.google.com/?cid=8159380231779556721,4.3,1109,+852 9844 2149,,PRICE_LEVEL_INEXPENSIVE,22.2976589,114.1716428,
Twist & Buckle (Tsim Sha Tsui),"29-31 Chatham Road South, Tsim Sha Tsui, Hong Kong, Hong Kong SAR China",$,Street Food,Street food,"Two young South Americans opened this shop specialising in churros. Besides the traditional version with cinnamon sugar, also try them glazed, in dips like dulce de leche and salted caramel, or even in sundaes with ice cream.","Air conditioning
                                





                                Credit cards accepted",,+852 6343 3312,https://twistandbuckle.com,Twist & Buckle Churros Specialists Tsim Sha Tsui,"29-31 Chatham Rd S, Tsim Sha Tsui, Hong Kong",https://maps.google.com/?cid=2034962322932345925,4.5,194,+852 6508 2674,http://twistandbuckle.com/,,22.2979041,114.17530959999999,
Louise,"PMQ, 35 Aberdeen Street, Central, Hong Kong, Hong Kong SAR China",$$$,French Contemporary,One Star: High quality cooking,"Chef Julien Royer, of Odette in Singapore fame, opened this restaurant which is decorated in a 1930s colonial style. Start with a drink at the bar downstairs before heading to the dining room for the chef’s delicate creations crafted with quality produce. Must-tries include pâté en croûte Louise with melt-in-the-mouth pastry and a moist filling, and pigeon breast with duck foie gras. Roasted Hong Kong yellow chicken is great for sharing. Ask the sommelier about wine pairings.","Air conditioning
                                

                                    Brunch
                                

                                    Garden or park
                                

                                    Interesting wine list
                                

                                    Restaurant offering vegetarian menus
                                

                                    Terrace
                                





                                Credit cards accepted",,+852 5722 3269,http://www.louise.hk,LOUISE,"PMQ - Staunton, 35 Aberdeen St, Central, Hong Kong",https://maps.google.com/?cid=2589056758101827125,4.4,492,+852 5722 3269,https://www.louise.hk/,,22.283437199999998,114.1521976,
Celestial Court,"2F, Sheraton Hotel, 20 Nathan Road, Tsim Sha Tsui, Hong Kong",$$,Cantonese,,The astute chef has over 25 years of experience and was brought up in a family who owned a dried seafood business. His shrewd insights on sourcing and preparing those gourmet ingredients are reflected in the menu. The speciality roast whole suckling pig with pearl barley and black truffles needs pre-ordering. Scrambled egg with lobster and caviar is another highlight. The windowless dining room is nicely furnished with rich wood accents.,"Air conditioning
                                

                                    Car park
                                

                                    Restaurant offering vegetarian menus
                                

                                    Valet parking
                                

                                    Wheelchair access
                                





                                Credit cards accepted",,+852 2369 1111,https://www.celestialcourt.hk/private-dining,Celestial Court Chinese Restaurant 天寶閣,"2/F, Sheraton Hong Kong Hotel And Towers, 20 Nathan Rd, Tsim Sha Tsui, Hong Kong",https://maps.google.com/?cid=5151338226342590164,4.3,315,+852 2369 1111,https://www.celestialcourt.hk/,PRICE_LEVEL_EXPENSIVE,22.295164,114.1726391,
Ippoh,"39 Aberdeen Street, Central, Hong Kong, Hong Kong SAR China",$$$,Tempura,,"Now run by the fifth generation, this family business rooted in Osaka still strictly follows the traditional rules of making tempura. The owner-chef insists on battering and frying every morsel himself without delegating his duty. Seafood is flown in daily from Osaka and Toyosu fish market and they use flavourless safflower oil, so as not to overpower the ingredients’ natural tastes. The sauce is made to a secret recipe. Omakase is the best way to go. Bookings are essential.","Air conditioning
                                

                                    Counter dining
                                





                                Credit cards accepted",,+852 2468 0641,https://www.ippoh.com/hongkong.html,Tempura Ippoh,"G/F, 39 Aberdeen St, Central, Hong Kong",https://maps.google.com/?cid=1671868623190249717,4.4,87,+852 2468 0641,http://www.ippoh.com/,PRICE_LEVEL_VERY_EXPENSIVE,22.282808,114.151669,
Fat Boy,"3 Hau Fook Street, Tsim Sha Tsui, Hong Kong",$,Street Food,Street food,"Hong Kong-style snacks including octopus, pork liver & turkey gizzard marinated in soy sauce. Sweet sauce and mustard add to the flavour. The combo set offers great value with three signature items.",Cash only,,+852 6255 3872,,Fat Boy Shop,"Hong Kong, Tsim Sha Tsui, Hau Fook St, 3號, Workingport Commercial Building, G1",https://maps.google.com/?cid=2224609622327689001,3.9,247,+852 6255 3872,http://www.seewide.com/%E5%B0%8F%E9%A3%9F-%E7%AC%AC%E4%B8%89%E4%BB%A3%E8%82%A5%E4%BB%94%E5%B0%8F%E9%A3%9F%E5%BA%97-(%E5%B0%96%E6%B2%99%E5%92%80%E5%BA%97)-%E5%B0%96%E6%B2%99%E5%92%80-14225,PRICE_LEVEL_INEXPENSIVE,22.299416900000004,114.1740092,
Golden Bauhinia Sang Kee,"GF, Expo Galleria, Hong Kong Convention and Exhibition Centre, 1 Expo Drive, Wan Chai, Hong Kong",$$,Cantonese,,"This space was taken over in 2021 by Sang Kee, a famous Cantonese restaurant with over 40 years of history. In addition to the same specialities from their Wan Chai flagship, the menu here boasts old-time artisan dishes exclusive to this branch. Barbecue chicken liver with pork is hard to find elsewhere; pan-fried deboned fourfinger threadfin with scallion and sea salt entices with its deep umami. The panoramic harbour views are also delightful.","Air conditioning
                                

                                    Car park
                                

                                    Great view
                                

                                    Restaurant offering vegetarian menus
                                

                                    Valet parking
                                

                                    Wheelchair access
                                





                                Credit cards accepted",,+852 2582 7729,http://www.hkcec.com.hk,Golden Bauhinia Sang Kee,"Expo Galleria, HKCEC, 1 Expo Dr, Wan Chai, Hong Kong",https://maps.google.com/?cid=12012945862939722477,4.1,214,+852 2582 7729,https://restaurants.hkcec.com/en/GoldenBauhiniaSangKee,,22.2847698,114.17319270000002,
Amber,"7F, The Landmark Mandarin Oriental Hotel, 15 Queen's Road Central, Central, Hong Kong",$$$$,French Contemporary,Two Stars: Excellent cooking,"Dutch-born chef Richard Ekkebus's restaurant has undergone a radical revamp. The bright space is characterised by organic curves, luxury materials and a gold and beige colour palette. As opposed to the à la carte of the past, it now serves only prix-fixe menus, one of which is vegetarian, dairy- and gluten-free with reduced salt and sugar. Top-notch ingredients are sourced globally and crafted into light and delicate creations with a modern touch.","Air conditioning
                                

                                    Car park
                                

                                    Interesting wine list
                                

                                    Restaurant offering vegetarian menus
                                

                                    Valet parking
                                

                                    Wheelchair access
                                





                                Credit cards accepted",,+852 2132 0066,https://www.mandarinoriental.com/en/hong-kong/the-landmark/dine/amber,"The Landmark Mandarin Oriental, Hong Kong","15 Queen's Road Central, Central, Hong Kong",https://maps.google.com/?cid=1401294095841807977,4.5,649,+852 2132 0188,https://www.mandarinoriental.com/en/hong-kong/the-landmark?src=loc.yext.lmhkg.ggl,,22.280518,114.157939,
Tsui Hang Village (Tsim Sha Tsui),"Shop 507, 5F, FoodLoft, Mira Place One, 132 Nathan Road, Tsim Sha Tsui, Hong Kong, Hong Kong SAR China",$$,Cantonese,,"A staple of the Tsim Sha Tsui restaurant scene since 1970s, this place is famous for its authentic Cantonese and Shun Tak fare, namely its bestselling honey-glazed char siu pork, braised beef ribs and shredded chicken, alongside some original creations by the head chef, such as fried king prawns in mango sauce topped with caviar. The dim sum is also good. Watching the chefs work their magic through the large window is all part of the experience.","Air conditioning
                                

                                    Car park
                                

                                    Wheelchair access
                                





                                Credit cards accepted",,+852 2376 2882,http://www.miradining.com,Tsui Hang Village (Tsim Sha Tsui),"Shop 504, L5, FoodLoft, Mira Place, 132 Nathan Rd, Tsim Sha Tsui, Hong Kong",https://maps.google.com/?cid=12535803300099410077,3.8,735,+852 2376 2882,http://www.miradining.com/~miradin5/?page_id=494,PRICE_LEVEL_EXPENSIVE,22.3009512,114.172173,
Brass Spoon (Wan Chai),"Shop B, GF, 1-3 Moon Street, Wan Chai, Hong Kong, Hong Kong SAR China",$$,Vietnamese,"Bib Gourmand: good quality, good value cooking","Tucked away in a quiet residential area, this is the place for authentic Vietnamese snacks and noodle soup. The owner-chef learnt the trade in France, where his family had a Vietnamese restaurant. In his signature phở, U.S. Angus beef and Danish pork combine magically with beef shank bone broth that simmers for over 16 hours. Deceptively simple looking snacks like spring rolls and bánh cuốn taste addictively good. Always busy; expect to queue.","Air conditioning
                                

                                    Cash only
                                

                                    Counter dining",,+852 2877 0898,http://www.thebrassspoon.com,Brass Spoon,"Shop B, G/F, 1-3 Moon Street, Wan Chai, Hong Kong",https://maps.google.com/?cid=1973267617844057839,4,328,,http://www.thebrassspoon.com/,,22.2764059,114.1684915,
