Title,Address,Price,Cuisine,Badge Text,Description,Services,Map Iframe URL,Phone,Website,Share_URL,Lat_Name,Lng_Name,Lat_Address,Lng_Address,Google_Lat,Google_Lng
Trattoria Felino,"Shop 3&4, GF, Pao Yip Building, 1-7 Ship Street, Wan Chai, Hong Kong, Hong Kong SAR China",$$,Italian,,"The chef hails from Naples and his trattoria serves culinary gems from the Italian city, including his grandma's recipes. Start with the carbonara egg, aerated egg yolk with guanciale and pecorino in an eggcup on a bed of corn kernels. Then move on to the house-made pasta, which embodies the ethos of the trattoria. The tagliatelle with Wagyu beef ragout strikes the perfect balance between meaty and tangy. Book well ahead to secure a table.","Air conditioning
                                





                                Credit cards accepted",,+852 5697 4477,https://www.trattoriafelino.com,https://maps.app.goo.gl/6hhHW7EvrBcwWyZN9,22.2763789,114.1682963,22.2763789,114.1682963,22.2763789,114.1708712
Prince and the Peacock,"2F, The Magistracy, Tai Kwun, 1 Arbuthnot Road, Central, Hong Kong, Hong Kong SAR China",$$,Indian,,"Chef Palash Mitra opened this lavish restaurant in a prison and police station-turned arts complex. Fit for royalty, the interior is matched by a menu inspired by the royal kitchens dotted around India. The chef collects lost recipes as he travels, recreating them as sharing plates for Hong Kong audience. Try his nalli gosht biryani – aged basmati with lamb shank and short ribs, plus minty raita to cut through the richness.","Air conditioning
                                

                                    Terrace
                                

                                    Wheelchair access
                                





                                Credit cards accepted",,+852 2154 6104,https://www.themagistracyhongkong.com/prince卜-and-the-peacock,https://maps.app.goo.gl/6kyFkqSp1Hrg4GP9A,22.2812107,114.1519297,22.2812107,114.1519297,22.2812107,114.1545046
Carna by Dario Cecchini,"39F, Mondrian, 8A Hart Avenue, Tsim Sha Tsui, Hong Kong",$$$,Steakhouse,,"The swanky room creates a Tuscan vibe with gracious arches and exquisite stained glass. It also commands breathtaking harbour views visible from almost every table. The Italian steakhouse, brainchild of the famous butcher Dario Cecchini, champions a nose-to-tail concept with a focus on beef from Italy, Australia, the U.S., Japan and Ireland. Premium U.S. Wagyu steaks stand out in particular. The Italian wine list practically covers the entire country.","Air conditioning
                                

                                    Great view
                                

                                    Interesting wine list
                                

                                    Valet parking
                                





                                Credit cards accepted",,+852 3550 0339,https://book.ennismore.com/hotels/mondrian/hong-kong/carna,https://maps.app.goo.gl/YJHa6BfG9G2YAngB6,22.2812107,114.1519297,22.2812107,114.1519297,22.2812107,114.1519297
Lulu Baobao,"Shop 102, 1F, Metro South Tower 2, 39 Wong Chuk Hang Road, Wong Chuk Hang, Hong Kong, Hong Kong SAR China",$,Dim Sum,Small Shop,"With custom-made crockery and retro marquetry on the walls and tables, the space feels stylish and spacious. Noodles and buns are handmade à la minute in the glass-clad kitchen, so expect a wait during peak hours. Try their noodles in ""gentle"" scallion oil – bouncy noodles dressed in the perfect amount of infused oil. The xiao long bao are also exquisitely made with beautiful pleats and soupy pork filling. The combo sets are great value.","Air conditioning
                                

                                    Car park
                                





                                Credit cards accepted",,+852 3460 4247,https://www.sensoryzero.com/lulubaobao,https://maps.app.goo.gl/UAcyds3YVEYMCmqe9,22.2488209,114.1638173,22.2488209,114.1638173,22.2488209,114.1663922
Bánh Mì Nếm,"GF, 247-249 Queen's Road East, Wan Chai, Hong Kong, Hong Kong SAR China",$,Street Food,Street food,"This takeout-only shop specialises in Vietnamese sandwiches, alongside rice noodles and coffee. The signature bánh mì dặc biệt features Vietnamese char siu, sausage and pâté in a baguette. Pickled radish and chilli add extra zing.",Credit cards accepted,,+852 9899 1247,,https://maps.app.goo.gl/aLxWYWmAB9vxPyVj9,22.2488209,114.1638173,22.2742499,114.171506,22.2488209,114.1638173
The Legacy House,"5F, Rosewood Hotel, 18 Salisbury Road, Tsim Sha Tsui, Hong Kong",$$$,Shun Tak,One Star: High quality cooking,"This restaurant pays homage to the hotel’s founding patriarch. A variety of Shun Tak dishes – such as minced fish soup and pan-fried fish head – are served, to a backdrop of breathtaking harbour views and modern Chinese décor. It also supports the local economy by ordering ingredients and cookware from local fishermen, artisans and farms directly. A dress code applies for dinner.","Air conditioning
                                

                                    Car park
                                

                                    Counter dining
                                

                                    Great view
                                

                                    Terrace
                                

                                    Valet parking
                                

                                    Wheelchair access
                                





                                Credit cards accepted",,+852 3891 8732,https://www.rosewoodhotels.com/tc/hong-kong,https://maps.app.goo.gl/eTr9t3QjG6MYfCna6,22.2949464,114.1731298,22.2949464,114.1731298,22.2949464,114.1757047
Zuicho,"GF, The Mercer Central, 29 Jervois Street, Sheung Wan, Hong Kong, Hong Kong SAR China",$$$$,Japanese,One Star: High quality cooking,"The head chef worked in some revered establishments in Tokyo for years and all ingredients are shipped from Japan. The highlight is the Satsuma beef fillet with confit egg yolk – the beef melts in your mouth while the egg yolk imparts silky richness. You may order omakase or tasting menu at lunch, but only one omakase Kappo menu that changes monthly is served at dinner. Seats are limited and reservations are mandatory.","Air conditioning
                                

                                    Counter dining
                                

                                    Wheelchair access
                                





                                Credit cards accepted",,+852 2156 1883,https://zuicho-kappo.com,https://maps.app.goo.gl/1CfPa4cScN3bQxSJ8,22.2850754,114.1495183,22.2851517,114.1495277,22.2850754,114.1520932
Ryota Kappou Modern,"21F,  18 On Lan Street, Central, Hong Kong, Hong Kong SAR China",$$$,Japanese,One Star: High quality cooking,"Floor-to-ceiling windows let in natural light and allow expansive views, while designer furniture and artisan tableware exude style. Only a kappo-style set menu is offered and the courses feature the best ingredients in season. The chef’s favourite Omi Wagyu katsu with black truffle and egg confit was inspired by sukiyaki and its flavours are in perfect harmony. The dinner set menu also includes an array of sake distributed by the restaurant itself.","Air conditioning
                                

                                    Counter dining
                                

                                    Notable sake list
                                

                                    Wheelchair access
                                





                                Credit cards accepted",,+852 2628 1899,http://www.ryota.hk,https://maps.app.goo.gl/wzhcBjfVGZZiQNHG7,22.2806062,114.1541379,22.2806202,114.1542505,22.2806062,114.1567128
Rùn,"2F, The St. Regis Hotel, 1 Harbour Drive, Wan Chai, Hong Kong",$$$,Cantonese,Two Stars: Excellent cooking,"Chef Hung has worked in many 5-star hotels and values food quality and shrewd techniques more than anything else. Seasonal ingredients from around the world are painstakingly prepared the traditional way and then plated with modern refinement. Wok-fried crab claw with dried shrimps, spring onion and layered bean curd sheet is exquisitely presented and loaded with umami. The wine and tea sommeliers, as well as the professional service team, make for a pleasant experience.","Air conditioning
                                

                                    Car park
                                

                                    Interesting wine list
                                

                                    Restaurant offering vegetarian menus
                                

                                    Valet parking
                                

                                    Wheelchair access
                                





                                Credit cards accepted",,+852 2138 6808,https://run-restaurant.stregishongkong.com/,https://maps.app.goo.gl/oaPo2MNcjZQg9FPX6,22.2798696,114.1723228,22.2801175,114.1722531,22.2798647,114.1748977
Cheung Hing Kee (Tsim Sha Tsui),"GF, 48 Lock Road, Tsim Sha Tsui, Hong Kong, Hong Kong SAR China",$,Street Food,"Bib Gourmand: good quality, good value cooking","Besides the typical sheng jian bao with soupy pork filling, this shop serves varieties such as shrimp, mala pork, truffle, crabmeat and roe. The buns are springy, brimming with filling, and crispy on the bottom.",Credit cards accepted,,+852 9844 2149,,https://maps.app.goo.gl/uShPNVW6ZXrJePru8,22.2976638,114.1690679,22.2976638,114.1690679,22.2976589,114.1716428
