Antarctica,,,Parts Unknown,9,6,"""Antarctica""",
Argentina,Buenos Aires,,No Reservations,3,13,"""Argentina""",No Filming Locations
Argentina,Bariloche,,No Reservations,3,13,"""Argentina""",No Filming Locations
Argentina,Buenos Aires,,Parts Unknown,8,8,"""Buenos Aires""",
Armenia,,,Parts Unknown,11,4,"""Armenia""",
Australia,Melbourne,,A Cooks Tour,2,9,Down Under: The Wild West of Cooking,
Australia,Melbourne,,No Reservations,5,12,"""Australia""",No Filming Locations
Australia,Sydney,,No Reservations,9,2,"""Sydney""",
Australia,,New South Wales,sds,2,7,Mad Tony: The Food Warrior,
Austria,Vienna,,No Reservations,7,4,"""Vienna""",
Bhutan,,,Parts Unknown,11,8,"""Bhutan""",
Brazil,Salvador da bahia,,A Cooks Tour,2,3,A Mystical World,
Brazil,Rio de Janerio,,A Cooks Tour,2,4,How to Be a Carioca,
Brazil,Sao Paulo,,No Reservations,3,9,"""Brazil""",No Filming Locations
Brazil,Belem,,No Reservations,7,6,"""Brazil (the Amazon)""",
Brazil,Rio de Janerio,,No Reservations,9,7,"""Rio""",
Brazil,,Bahia,Parts Unknown,3,9,"""Bahia, Brazil""",
Brazil,,Minas Gerais,Parts Unknown,8,9,"""Minas Gerais, Brazil""",
Brazil,Sao Paulo,,The Layover,2,4,"""São Paulo""","Bar do Luiz Fernandez, R. Augusto Tolle, 610, São Paulo, São Paulo, Brazil"
Brazil,Sao Paulo,,The Layover,2,4,"""São Paulo""","Cantina Castelões, R. Jairo Góis, 126, São Paulo, São Paulo, Brazil"
Brazil,Sao Paulo,,The Layover,2,4,"""São Paulo""","Carlinhos Restaurante, Rua Rio Bonito, 1641, São Paulo, São Paulo, Brazil"
Brazil,Sao Paulo,,The Layover,2,4,"""São Paulo""","Censiv Motel, Rua Doutor Freire Cisneiro, 80, São Paulo, São Paulo, Brazil"
Brazil,Sao Paulo,,The Layover,2,4,"""São Paulo""","Estação da Luz, Praca da Luz 1, São Paulo, São Paulo, Brazil"
Brazil,Sao Paulo,,The Layover,2,4,"""São Paulo""","Frangó, Largo da Matriz Nossa Senhora do Ó, 168, São Paulo, São Paulo, Brazil"
Brazil,Sao Paulo,,The Layover,2,4,"""São Paulo""","Hotel Unique - Avenida Brigadeiro Luis Antonio, 4700 - Jardim Paulista, São Paulo, São Paulo, Brazil"
Brazil,Sao Paulo,,The Layover,2,4,"""São Paulo""","Ibirapuera Park, Av. Pedro Álvares Cabral, São Paulo, São Paulo, Brazil"
Brazil,Sao Paulo,,The Layover,2,4,"""São Paulo""","Ici Bistro, Rua Pará, 36, São Paulo, São Paulo, Brazil"
Brazil,Sao Paulo,,The Layover,2,4,"""São Paulo""","Izakaya Issa, Rua Barão de Iguapé, 89, São Paulo, São Paulo, Brazil"
Brazil,Sao Paulo,,The Layover,2,4,"""São Paulo""","Lá da Venda, Rua Harmonia, 161, Vila Madalena, São Paulo, São Paulo, Brazil"
Brazil,Sao Paulo,,The Layover,2,4,"""São Paulo""","Liberdade, São Paulo, São Paulo, Brazil"
Brazil,Sao Paulo,,The Layover,2,4,"""São Paulo""","Love Story, Rua Araújo, 232, República, São Paulo, São Paulo, Brazil"
Brazil,Sao Paulo,,The Layover,2,4,"""São Paulo""","Monument to the Bandeiras, São Paulo, São Paulo, Brazil"
Brazil,Sao Paulo,,The Layover,2,4,"""São Paulo""","Museu Aberto de Arte Urbana, Av. Cruzeiro do Sul, São Paulo, São Paulo, Brazil"
Brazil,Sao Paulo,,The Layover,2,4,"""São Paulo""","Oscar Friere Market, Rua Oscar Freire St, São Paulo, São Paulo, Brazil"
Brazil,Sao Paulo,,The Layover,2,4,"""São Paulo""","Rua Augusta, São Paulo, São Paulo, Brazil"
Brazil,Sao Paulo,,The Layover,2,4,"""São Paulo""","São Paulo Museum of Art, Av. Paulista, 1578, São Paulo, São Paulo, Brazil"
Brazil,Sao Paulo,,The Layover,2,4,"""São Paulo""","São Paulo/Guarulhos-Governador André Franco Montoro International Airport, Guarulhos, São Paulo, Brazil"
Brazil,Sao Paulo,,The Layover,2,4,"""São Paulo""","Sé Cathedral, Praça da Sé, São Paulo, São Paulo, Brazil"
Brazil,Sao Paulo,,The Layover,2,4,"""São Paulo""","Vila Madalena, São Paulo, São Paulo, Brazil"
Brazil,Sao Paulo,,The Layover,2,4,"""São Paulo""","Z Carniceria, Rua Augusta, 934, Bela Vista, São Paulo, São Paulo, Brazil"
Cambodia,Phnom Penh,,"""Antarctica""",1,5,Wild Delicacies,
Cambodia,Siem Reip,,A Cooks Tour,1,5,Wild Delicacies,
Cambodia,Pailin,,A Cooks Tour,1,6,Eating on the Edge of Nowhere,
Cambodia,Battambang,,A Cooks Tour,1,6,Eating on the Edge of Nowhere,
Cambodia,,,No Reservations,7,2,"""Cambodia""",
