page,season,episode,episode_title,category,name,address,note
argentina-episode.html,3,13,Argentina,hotel,Hotel Esplendor de El Calafate,"Peron 1143 9405 El Calafate, Argentina",The perfect place to call your home-base!
argentina-episode.html,3,13,Argentina,activity,Paragliding,"El Bolson, Rio Negro, Argentina",Amazing experience up in the sky!
argentina-episode.html,3,13,Argentina,restaurant,El Cuartito,"Talcahuano 937, Buenos Aires, Argentina",Order the empanadas and pizza meals.
argentina-episode.html,3,13,Argentina,restaurant,La Banca Cafe,"25 de Mayo 376, Buenos Aires, Argentina",Great place to have home-brewed coffee.
argentina-episode.html,3,13,Argentina,restaurant,Casa Mun,"Palermo, Buenos Aires 1326, Argentina",The sushi and Dim Sum is worth the visit.
argentina-episode.html,3,13,Argentina,restaurant,Chizza,"Alsina 120, Los Cardales, Buenos Aires 2814, Argentina",A fine Mediterranean assortment of dishes.
asia-special-china-and-japan-episode.html,2,1,Asia Special: China & Japan,hotel,"Shangri-La Hotel, Chengdu","9 Binjiang East Rd, Jinjiang, Chengdu","Great place to stay, beside the Jingjiang river."
asia-special-china-and-japan-episode.html,2,1,Asia Special: China & Japan,activity,People's Park,"Qingyang District, Citang Street #9",Lovely place to stroll and relax.
asia-special-china-and-japan-episode.html,2,1,Asia Special: China & Japan,restaurant,Xiaojing Sifangcai,"Wuhou District, Chengdu 610041, China",Romantic setting for Asian & Chinese
asia-special-china-and-japan-episode.html,2,1,Asia Special: China & Japan,restaurant,Lazy Pug,"No.48 South Renmin Road, Chengdu, China",American style restaurant and bar.
asia-special-china-and-japan-episode.html,2,1,Asia Special: China & Japan,restaurant,Shang Palace,"BinJiang East Road 9, Chengdu 610021, China",Authentic Shangri-la Chinese Restaurant.
asia-special-china-and-japan-episode.html,2,1,Asia Special: China & Japan,restaurant,Chen Mapo Tofu,"West Jade Dragon St, Chengdu 610015, China","You must order the Mapo Tofu, delicious!"
austin-episode.html,8,9,Austin,hotel,Hotel San Jose,"1316 South Congress Ave, Austin, TX 78704",Well located hotel by downtown Austin.
austin-episode.html,8,9,Austin,activity,Quality Seafood Market,"5621 Airport Blvd, Austin, TX 78751",Amazing local market - open almost 80 years.
austin-episode.html,8,9,Austin,restaurant,Three Little Pigs,"1209 Rosewood Ave, Austin, TX 78702",One of the best food trucks in the nation.
austin-episode.html,8,9,Austin,restaurant,Texas Chili Parlor,"1409 Lavaca St, Austin, TX 78701",No other chili even comes close!
austin-episode.html,8,9,Austin,restaurant,Tamale House,"5003 Airport Blvd, Austin, TX 78751",The breakfast tacos are your best bet.
austin-episode.html,8,9,Austin,restaurant,Lala's,"2207 Justin Lane, Austin, TX 78757","Grab a bloody mary or two, why not?"
austin-episode.html,8,9,Austin,restaurant,El Taco Rico,"810 Vargas Rd, Austin, TX 78741",Amazing Mexican food from this food truck.
austin-episode.html,8,9,Austin,restaurant,La Mexicana Bakery,"1924 S First Street, Austin, TX 78704",Good spot for some late night meals.
austin-episode.html,8,9,Austin,restaurant,El Azteca,"2600 E 7th St, Austin, TX 78702",Mexican restaurants serving classics.
austin-episode.html,8,9,Austin,restaurant,Mueller BBQ,"1502 S First Street, Austin, TX 78704",Pork steak at this barbecue food trailer.
austin-episode.html,8,9,Austin,restaurant,Draught House Pub & Brewery,"4112 Medical Parkway, Austin, TX 78756",One of the best places to grab a drink.
austin-episode.html,8,9,Austin,restaurant,Horseshoe Lounge,"2034 S Lamar Blvd, Austin, TX 78704","Affordable beers, enjoy yourself with friends."
austin-episode.html,8,9,Austin,restaurant,Barley Swine,"2024 S Lamar Blvd, Austin, TX 78704",Classic farm-to-table cuisine.
austin-episode.html,8,9,Austin,restaurant,Franklin Barbecue,"900 E 11th St, Austin, TX 78702",Multiple award winning BBQ restaurant.
australia-episode.html,5,12,Australia,hotel,The Royal Mail Hotel,"98 Parker St., Dunkeld, VIC 3294, Australia",Located near the Grampian Mountains.
australia-episode.html,5,12,Australia,activity,Queen Vic Market,"Elizabeth and Victoria Sts., Melbourne, VIC 3000, Australia","Traditional outdoor market, lots to see."
australia-episode.html,5,12,Australia,restaurant,Dainty Sichuan,"26 Corrs Lane, Melbourne, VIC 3000, Australia",Spicy sichuan and cumin pork ribs.
australia-episode.html,5,12,Australia,restaurant,Van Mai,"374 Victoria St., Richmond, VIC 3121, Australia",Try the prawns and sour & sweet soups.
